ST_CASE,Start_Time,End_Time,Time_of_the_day,Day_of_the_Week,Season
10420,10:00am,10:59am,morning,Friday,summer
10421,6:00pm,6:59pm,evening,Sunday,summer
10422,4:00am,4:59am,dawn,Monday,summer
10423,6:00pm,6:59pm,evening,Monday,summer
10424,1:00pm,1:59pm,afternoon,Tuesday,summer
10425,5:00am,5:59am,morning,Wednesday,summer
10426,9:00am,9:59am,morning,Wednesday,summer
10427,3:00pm,3:59pm,afternoon,Wednesday,summer
10428,6:00am,6:59am,morning,Thursday,summer
10429,11:00pm,11:59pm,afternoon,Thursday,summer
10430,2:00pm,2:59pm,afternoon,Friday,summer
10431,8:00am,8:59am,morning,Friday,summer
10432,10:00pm,10:59pm,dusk,Saturday,summer
10433,3:00am,3:59am,dawn,Saturday,summer
10434,2:00am,2:59am,dawn,Saturday,summer
10435,2:00am,2:59am,dawn,Saturday,summer
10436,6:00am,6:59am,morning,Saturday,summer
10437,1:00am,1:59am,dawn,Sunday,summer
10438,3:00am,3:59am,dawn,Sunday,summer
10439,7:00am,7:59am,morning,Sunday,summer
10440,4:00pm,4:59pm,afternoon,Sunday,summer
10441,3:00am,3:59am,dawn,Sunday,summer
10442,8:00pm,8:59pm,dusk,Sunday,summer
10443,6:00pm,6:59pm,evening,Tuesday,summer
10444,10:00pm,10:59pm,dusk,Monday,summer
10445,2:00am,2:59am,dawn,Sunday,summer
10446,4:00am,4:59am,dawn,Thursday,summer
10447,0:00am,0:59am,dawn,Tuesday,summer
10448,4:00pm,4:59pm,afternoon,Thursday,summer
10449,6:00am,6:59am,morning,Thursday,summer
10450,5:00am,5:59am,morning,Thursday,summer
10451,1:00pm,1:59pm,afternoon,Thursday,summer
10452,7:00pm,7:59pm,evening,Thursday,summer
10453,0:00am,0:59am,dawn,Friday,summer
10454,9:00pm,9:59pm,dusk,Friday,summer
10455,11:00pm,11:59pm,afternoon,Friday,summer
10456,2:00pm,2:59pm,afternoon,Friday,summer
10457,1:00am,1:59am,dawn,Saturday,summer
10458,2:00pm,2:59pm,afternoon,Saturday,summer
10459,2:00pm,2:59pm,afternoon,Saturday,summer
10460,8:00pm,8:59pm,dusk,Saturday,summer
10461,0:00am,0:59am,dawn,Saturday,summer
10462,6:00pm,6:59pm,evening,Sunday,summer
10463,6:00pm,6:59pm,evening,Sunday,summer
10464,1:00am,1:59am,dawn,Monday,summer
10465,3:00pm,3:59pm,afternoon,Monday,summer
10466,1:00am,1:59am,dawn,Monday,summer
10467,1:00pm,1:59pm,afternoon,Monday,summer
10468,8:00am,8:59am,morning,Tuesday,summer
10469,0:00am,0:59am,dawn,Wednesday,summer
10470,5:00pm,5:59pm,evening,Wednesday,summer
10471,11:00pm,11:59pm,afternoon,Wednesday,summer
10472,7:00pm,7:59pm,evening,Thursday,summer
10473,2:00pm,2:59pm,afternoon,Thursday,summer
10474,2:00pm,2:59pm,afternoon,Thursday,summer
10475,8:00am,8:59am,morning,Thursday,summer
10476,9:00pm,9:59pm,dusk,Saturday,summer
10477,8:00pm,8:59pm,dusk,Wednesday,summer
10478,7:00am,7:59am,morning,Wednesday,summer
10479,9:00am,9:59am,morning,Friday,summer
10480,4:00pm,4:59pm,afternoon,Friday,summer
10481,6:00pm,6:59pm,evening,Thursday,summer
10482,12:00pm,12:59pm,afternoon,Wednesday,summer
10483,5:00pm,5:59pm,evening,Saturday,summer
10484,10:00pm,10:59pm,dusk,Sunday,summer
10485,11:00pm,11:59pm,afternoon,Sunday,summer
10486,2:00pm,2:59pm,afternoon,Sunday,summer
10487,8:00pm,8:59pm,dusk,Sunday,summer
10488,2:00am,2:59am,dawn,Sunday,summer
10489,1:00am,1:59am,dawn,Monday,summer
10490,10:00am,10:59am,morning,Monday,summer
10491,7:00pm,7:59pm,evening,Monday,summer
10492,8:00pm,8:59pm,dusk,Tuesday,summer
10493,7:00pm,7:59pm,evening,Thursday,summer
10494,6:00pm,6:59pm,evening,Thursday,summer
10495,5:00am,5:59am,morning,Friday,summer
10496,10:00pm,10:59pm,dusk,Friday,summer
10497,2:00pm,2:59pm,afternoon,Thursday,summer
10498,8:00am,8:59am,morning,Friday,summer
10499,10:00pm,10:59pm,dusk,Friday,summer
10500,1:00pm,1:59pm,afternoon,Saturday,summer
10501,9:00pm,9:59pm,dusk,Sunday,summer
10502,10:00am,10:59am,morning,Sunday,summer
10503,10:00pm,10:59pm,dusk,Sunday,summer
10504,1:00am,1:59am,dawn,Sunday,summer
10505,11:00pm,11:59pm,afternoon,Sunday,summer
10506,1:00pm,1:59pm,afternoon,Monday,summer
10507,1:00am,1:59am,dawn,Monday,summer
10508,6:00pm,6:59pm,evening,Monday,summer
10509,1:00am,1:59am,dawn,Monday,summer
10510,4:00am,4:59am,dawn,Tuesday,summer
10511,8:00pm,8:59pm,dusk,Tuesday,summer
10512,1:00pm,1:59pm,afternoon,Wednesday,summer
10513,1:00pm,1:59pm,afternoon,Wednesday,summer
10514,9:00pm,9:59pm,dusk,Thursday,summer
10515,8:00pm,8:59pm,dusk,Thursday,summer
10516,3:00pm,3:59pm,afternoon,Thursday,summer
10517,6:00pm,6:59pm,evening,Thursday,summer
10518,7:00pm,7:59pm,evening,Friday,summer
10519,8:00pm,8:59pm,dusk,Saturday,summer
10521,3:00am,3:59am,dawn,Saturday,summer
10522,10:00am,10:59am,morning,Saturday,summer
10523,3:00pm,3:59pm,afternoon,Saturday,summer
10524,1:00pm,1:59pm,afternoon,Saturday,summer
10525,5:00am,5:59am,morning,Saturday,summer
10526,2:00pm,2:59pm,afternoon,Sunday,summer
10527,6:00pm,6:59pm,evening,Sunday,summer
10528,5:00pm,5:59pm,evening,Sunday,summer
10529,0:00am,0:59am,dawn,Monday,summer
10530,9:00am,9:59am,morning,Monday,summer
10531,8:00am,8:59am,morning,Tuesday,summer
10532,9:00am,9:59am,morning,Wednesday,summer
10533,10:00am,10:59am,morning,Thursday,summer
10534,3:00pm,3:59pm,afternoon,Monday,summer
10535,9:00pm,9:59pm,dusk,Thursday,summer
10536,2:00pm,2:59pm,afternoon,Friday,summer
10537,8:00pm,8:59pm,dusk,Friday,summer
10538,7:00pm,7:59pm,evening,Friday,summer
10539,4:00pm,4:59pm,afternoon,Saturday,summer
10540,1:00am,1:59am,dawn,Saturday,summer
10541,7:00pm,7:59pm,evening,Saturday,summer
10542,1:00am,1:59am,dawn,Sunday,summer
10543,2:00am,2:59am,dawn,Saturday,summer
10544,7:00am,7:59am,morning,Tuesday,summer
10545,6:00pm,6:59pm,evening,Saturday,summer
10546,6:00am,6:59am,morning,Tuesday,winter
10547,9:00am,9:59am,morning,Thursday,winter
10548,7:00pm,7:59pm,evening,Friday,winter
10549,5:00am,5:59am,morning,Wednesday,winter
10550,9:00am,9:59am,morning,Monday,spring
10551,1:00am,1:59am,dawn,Sunday,spring
10552,1:00am,1:59am,dawn,Sunday,spring
10553,8:00am,8:59am,morning,Sunday,winter
10554,0:00am,0:59am,dawn,Saturday,spring
10555,2:00am,2:59am,dawn,Saturday,summer
10556,10:00pm,10:59pm,dusk,Thursday,summer
10557,0:00am,0:59am,dawn,Sunday,summer
10558,5:00am,5:59am,morning,Sunday,summer
10559,8:00pm,8:59pm,dusk,Friday,summer
10560,10:00am,10:59am,morning,Monday,summer
10561,7:00am,7:59am,morning,Monday,summer
10562,9:00pm,9:59pm,dusk,Monday,summer
10563,2:00pm,2:59pm,afternoon,Tuesday,summer
10564,4:00am,4:59am,dawn,Wednesday,summer
10565,5:00am,5:59am,morning,Friday,summer
10566,7:00pm,7:59pm,evening,Wednesday,summer
10567,9:00am,9:59am,morning,Friday,summer
10568,12:00pm,12:59pm,afternoon,Friday,summer
10569,0:00am,0:59am,dawn,Friday,summer
10570,10:00pm,10:59pm,dusk,Saturday,summer
10571,7:00pm,7:59pm,evening,Monday,summer
10572,12:00pm,12:59pm,afternoon,Monday,summer
10573,3:00pm,3:59pm,afternoon,Monday,summer
10574,3:00pm,3:59pm,afternoon,Tuesday,summer
10575,7:00am,7:59am,morning,Wednesday,summer
10576,9:00pm,9:59pm,dusk,Wednesday,summer
10577,8:00pm,8:59pm,dusk,Thursday,summer
10578,10:00am,10:59am,morning,Friday,summer
10579,12:00pm,12:59pm,afternoon,Saturday,summer
10580,1:00am,1:59am,dawn,Sunday,summer
10581,4:00am,4:59am,dawn,Friday,fall
10582,5:00am,5:59am,morning,Monday,summer
10583,7:00am,7:59am,morning,Sunday,summer
10584,3:00pm,3:59pm,afternoon,Monday,summer
10585,5:00pm,5:59pm,evening,Monday,summer
10586,6:00pm,6:59pm,evening,Tuesday,summer
10587,12:00pm,12:59pm,afternoon,Tuesday,summer
10588,11:00am,11:59am,morning,Tuesday,summer
10589,1:00am,1:59am,dawn,Tuesday,summer
10590,10:00am,10:59am,morning,Wednesday,summer
10591,3:00pm,3:59pm,afternoon,Wednesday,summer
10592,1:00pm,1:59pm,afternoon,Wednesday,summer
10593,7:00pm,7:59pm,evening,Wednesday,summer
10594,11:00am,11:59am,morning,Thursday,fall
10595,5:00pm,5:59pm,evening,Friday,fall
10596,2:00pm,2:59pm,afternoon,Saturday,fall
10597,10:00pm,10:59pm,dusk,Saturday,fall
10598,4:00am,4:59am,dawn,Saturday,fall
10599,6:00am,6:59am,morning,Sunday,fall
10600,0:00am,0:59am,dawn,Saturday,fall
10601,5:00am,5:59am,morning,Monday,fall
