ST_CASE,StateName,CountyName,CityName,Latitude,Longitude
131205,Georgia,SEMINOLE (253),NOT APPLICABLE,30.94607222,-84.94666667
131206,Georgia,NEWTON (217),Other,33.64888611,-83.92561111
131208,Georgia,MITCHELL (205),PELHAM,31.20452778,-84.17535833
131209,Georgia,HENRY (151),NOT APPLICABLE,33.47578333,-84.04369722
131210,Georgia,LUMPKIN (187),NOT APPLICABLE,34.60485556,-83.96888333
131211,Georgia,CARROLL (45),TEMPLE,33.71652222,-85.03030833
131212,Georgia,TALBOT (263),TALBOTTON,32.58445833,-84.51233056
131214,Georgia,FRANKLIN (119),LAVONIA,34.43803889,-83.13945833
131215,Georgia,BARROW (13),STATHAM,33.97688889,-83.64356944
131216,Georgia,BIBB (21),MACON,32.84809167,-83.61258333
131217,Georgia,FULTON (121),FAIRBURN,33.52829167,-84.57601111
131218,Georgia,HABERSHAM (137),NOT APPLICABLE,34.62849444,-83.58763611
131219,Georgia,GILMER (123),EAST ELLIJAY,34.69946944,-84.46268889
131220,Georgia,CLAYTON (63),JONESBORO,33.50653889,-84.41414167
131221,Georgia,WALKER (295),Other,34.86338611,-85.409875
131222,Georgia,GWINNETT (135),SUWANEE,34.03967222,-84.03678056
131223,Georgia,COBB (67),MARIETTA,33.90409444,-84.56050278
131224,Georgia,COBB (67),MABLETON,33.78063056,-84.54063889
131225,Georgia,DEKALB (89),BROOKHAVEN,33.8583,-84.34145
131226,Georgia,MUSCOGEE (215),COLUMBUS,32.48942778,-84.97127222
131227,Georgia,GWINNETT (135),NORCROSS,33.91395,-84.16170556
131228,Georgia,WORTH (321),POULAN,31.527325,-83.79803333
131229,Georgia,NEWTON (217),NOT APPLICABLE,33.52096667,-83.71281389
131230,Georgia,BUTTS (35),JACKSON,33.34668333,-83.95933056
131231,Georgia,POLK (233),CEDARTOWN,34.01495833,-85.22033889
131232,Georgia,BARTOW (15),CARTERSVILLE,34.21344722,-84.83400278
131233,Georgia,LAURENS (175),DUBLIN,32.64558333,-82.84783889
131234,Georgia,RABUN (241),TALLULAH FALLS,34.81281111,-83.31934167
131235,Georgia,JEFFERSON (163),WRENS,33.22432778,-82.40207778
131236,Georgia,PAULDING (223),DALLAS,33.91483056,-84.82773056
131237,Georgia,TOOMBS (279),Other,31.98373056,-82.45410278
131238,Georgia,EMANUEL (107),SWAINSBORO,32.588425,-82.34263611
131239,Georgia,BIBB (21),MACON,32.82850833,-83.73200556
131240,Georgia,CHATHAM (51),SAVANNAH,32.00363889,-81.12023611
131241,Georgia,FULTON (121),ATLANTA,33.76503889,-84.51989722
131242,Georgia,FULTON (121),ATLANTA,33.70401944,-84.40801667
131243,Georgia,FULTON (121),ATLANTA,33.82331667,-84.35471389
131244,Georgia,FULTON (121),ATLANTA,33.68655278,-84.39916667
131245,Georgia,FULTON (121),ROSWELL,34.03232222,-84.34059444
131246,Georgia,LONG (183),Other,31.75581944,-81.63565
131248,Georgia,RICHMOND (245),AUGUSTA,33.416625,-82.00505
131250,Georgia,FORSYTH (117),CUMMING,34.24411944,-84.06568056
131251,Georgia,FULTON (121),ATLANTA,33.79797778,-84.39441944
131252,Georgia,GLYNN (127),BRUNSWICK,31.17448889,-81.492775
131253,Georgia,DOUGLAS (97),WINSTON,33.75760833,-84.81135
131254,Georgia,TOWNS (281),HIAWASSEE,34.93332778,-83.77308611
131255,Georgia,BIBB (21),MACON,32.74007222,-83.73159444
131256,Georgia,HENRY (151),MCDONOUGH,33.43029167,-84.14515
131257,Georgia,GWINNETT (135),LILBURN,33.90698056,-84.15636111
131258,Georgia,NEWTON (217),COVINGTON,33.61189167,-83.89213056
131259,Georgia,DADE (83),RISING FAWN,34.81908889,-85.49681389
131260,Georgia,HEARD (149),FRANKLIN,33.19748333,-85.15840556
131261,Georgia,WHITFIELD (313),NOT APPLICABLE,34.86991111,-85.01664444
131262,Georgia,DEKALB (89),DECATUR,33.71643889,-84.31043611
131264,Georgia,COBB (67),POWDER SPRINGS,33.89235833,-84.62281667
131265,Georgia,CARROLL (45),Other,33.69083889,-85.06615278
131266,Georgia,CARROLL (45),CARROLLTON,33.63669167,-85.05650833
131267,Georgia,FULTON (121),SANDY SPRINGS,33.91420556,-84.42268333
131268,Georgia,TWIGGS (289),JEFFERSONVILLE,32.68219722,-83.35320833
131269,Georgia,FULTON (121),ATLANTA,33.77425278,-84.39029167
131270,Georgia,MUSCOGEE (215),COLUMBUS,32.40868611,-84.94004167
131272,Georgia,CHEROKEE (57),CANTON,34.24741111,-84.30486111
131273,Georgia,DEKALB (89),Other,33.65164722,-84.34288333
131274,Georgia,OCONEE (219),WATKINSVILLE,33.79570556,-83.37788889
131275,Georgia,CHATHAM (51),Other,32.0407,-81.02219722
131276,Georgia,TALBOT (263),WOODLAND,32.75981944,-84.56491667
131277,Georgia,WALKER (295),LAFAYETTE,34.68161944,-85.27087222
131278,Georgia,COWETA (77),NEWNAN,33.37868611,-84.86554167
131279,Georgia,FULTON (121),ATLANTA,33.80080278,-84.38779167
131280,Georgia,LANIER (173),Not Reported,31.12753333,-83.15186667
131281,Georgia,COLUMBIA (73),APPLING,33.62069167,-82.28249722
131282,Georgia,FORSYTH (117),CUMMING,34.29580833,-84.18400278
131284,Georgia,RICHMOND (245),AUGUSTA,33.44440833,-82.07280833
131285,Georgia,BIBB (21),MACON,32.81390833,-83.64520833
131286,Georgia,TIFT (277),TIFTON,31.43509722,-83.44801667
131287,Georgia,FORSYTH (117),CUMMING,34.18579722,-84.14098056
131288,Georgia,HART (147),BOWERSVILLE,34.36845833,-83.06711944
131289,Georgia,RICHMOND (245),AUGUSTA,33.4563,-81.96837778
131290,Georgia,RICHMOND (245),AUGUSTA,33.42814167,-82.04801389
131291,Georgia,COLQUITT (71),MOULTRIE,31.159125,-83.90878056
131293,Georgia,FULTON (121),ATLANTA,33.68868611,-84.39922778
131294,Georgia,CLAYTON (63),Other,33.48925278,-84.35685
131295,Georgia,POLK (233),CEDARTOWN,34.0594,-85.30559167
131296,Georgia,RABUN (241),CLAYTON,34.87691111,-83.44536667
131297,Georgia,GORDON (129),CALHOUN,34.50581944,-84.96156944
131298,Georgia,GWINNETT (135),NOT APPLICABLE,33.973325,-83.87388056
131299,Georgia,HENRY (151),HAMPTON,33.37935556,-84.26421389
131300,Georgia,MUSCOGEE (215),COLUMBUS,32.45508056,-84.91948333
131301,Georgia,GORDON (129),CALHOUN,34.505675,-84.96153611
131302,Georgia,LOWNDES (185),VALDOSTA,30.77949167,-83.29785833
131303,Georgia,LOWNDES (185),LAKE PARK,30.64331111,-83.18910556
131304,Georgia,CARROLL (45),VILLA RICA,33.74705556,-84.93561944
131305,Georgia,DOUGLAS (97),DOUGLASVILLE,33.67380556,-84.77455556
